مدينة الجزائر	36,730492	3,0878	3.416	0,67
تونس	36,808333	10,183444	639	0,68
طرابلس	32,887837	13,190653	1.158	0,46
کابل	34,549668	69,207336	4.600	0,32
اسلام آباد	33,6812	73,039408	1.015	0,35
دمشق	33,514198	36,275857	1.711	0,18
بيروت	33,894418	35,501364	2.060	0,38
بغداد	33,316831	44,365516	7.665	0,22
تهران	35,694502	51,377963	8.694	0,82
ירושלים	31,76945	35,211749	874	0,69
عمان	31,951697	35,912604	4.008	0,38
الرياض	24,723684	46,682419	5.188	0,88
مسقط	23,585252	58,380405	1.720	0,77
أبو ظبي	24,461165	54,380084	1.206	0,9
الدوحة	25,279646	51,530877	797	0,85
المنامة	26,223995	50,587652	155	0,84
العيون	27,151611	-13,200184	218	0,62
نواكشوط	18,073033	-15,960086	958	0,61
اِنْجَمِينَا	12,133307	15,053682	1.092	0,31
الخرطوم	15,504181	32,554741	8.364	0,3
أسمرة	15,323331	38,922393	896	0,31
